,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
184,palu,99,ID,1644202655,64,-0.8917,119.8707,88.3,3.33
185,billings,29,US,1644202506,57,45.7833,-108.5007,38.93,10.27
186,gizo,100,SB,1644202656,72,-8.103,156.8419,85.51,13.58
187,cayenne,75,GF,1644202605,87,4.9333,-52.3333,80.1,4.0
188,helong,61,CN,1644202657,54,42.5397,128.9972,20.48,8.66
189,tarragona,7,ES,1644202657,70,41.129,1.249,50.05,8.59
190,haftoni,40,AZ,1644202658,60,38.7632,48.7622,35.31,8.05
191,tanete,42,ID,1644202658,72,-3.9443,119.7848,85.98,3.85
192,san cristobal,0,ML,1644202655,13,13.3034,-4.8956,70.2,8.03
193,brae,95,GB,1644202530,57,60.3964,-1.353,39.11,30.4
194,klyuchevskiy,7,RU,1644202659,75,53.5317,119.4519,5.05,2.64
195,ormara,15,PK,1644202660,83,25.2088,64.6357,70.47,5.79
196,jiangyou,100,CN,1644202660,97,31.7667,104.7167,38.41,2.62
197,guerrero negro,35,MX,1644202661,69,17.6667,-100.0,63.73,4.61
198,nizhniy odes,60,RU,1644202661,88,45.3926,39.2364,33.98,6.69
199,pestovo,69,RU,1644202662,94,58.5938,35.8024,22.35,9.13
200,athens,20,GR,1644202440,88,37.9795,23.7162,54.39,1.01
201,sao filipe,34,IN,1644202663,30,20.5113,76.2129,68.31,2.8
202,cherskiy,25,RU,1644202601,100,68.75,161.3,-27.85,1.28
203,coihaique,0,CL,1644202664,63,-45.5752,-72.0662,68.61,3.44
204,acarau,1,BR,1644202664,80,-2.8856,-40.12,78.48,11.3
205,ingham,0,US,1644202665,74,42.6,-84.3833,28.17,0.0
206,tasiilaq,100,GL,1644202381,53,65.6145,-37.6368,17.4,60.31
207,antofagasta,28,CL,1644202536,76,-23.65,-70.4,65.48,1.43
208,saint-pierre,0,RE,1644202666,78,-21.3393,55.4781,78.44,4.61
209,ouadda,21,CF,1644202666,20,8.0777,22.4007,61.34,6.96
210,madre de deus,79,BR,1644202667,80,-28.5337,-48.9112,71.04,4.63
211,kimbe,82,PG,1644202667,72,-5.5502,150.1429,85.3,7.0
212,kyabe,0,TD,1644202668,16,9.4515,18.9449,70.77,6.6
213,svetlogorsk,100,BY,1644202534,97,52.6333,29.7333,32.04,14.99
214,namibe,95,AO,1644202622,70,-15.1961,12.1522,72.28,7.43
215,sol-iletsk,100,RU,1644202387,96,51.1631,54.9918,16.12,7.43
216,chapais,100,CA,1644202669,95,49.7834,-74.8492,4.78,5.53
217,mastic beach,85,US,1644202670,81,40.802,-72.8409,33.94,5.99
218,adamas,30,GR,1644202670,72,36.7333,24.4333,56.46,12.15
219,rocha,100,UY,1644202671,85,-34.4833,-54.3333,62.85,13.89
220,souillac,75,MU,1644202671,94,-20.5167,57.5167,77.38,3.44
221,lima,20,PE,1644202672,37,-12.0432,-77.0282,68.4,8.05
222,natal,20,BR,1644202393,78,-5.795,-35.2094,80.82,5.75
223,lerwick,63,GB,1644202673,55,60.1545,-1.1494,39.2,30.22
224,korla,57,CN,1644202673,43,41.7597,86.1469,25.38,3.33
225,huarmey,100,PE,1644202434,78,-10.0681,-78.1522,71.37,6.38
226,pokosnoye,100,RU,1644202674,91,55.5258,101.0536,14.67,3.51
227,pareora,93,NZ,1644202675,64,-44.4871,171.2132,64.18,13.33
228,kvitok,100,RU,1644202675,88,56.0724,98.4813,16.43,2.98
229,biak,99,ID,1644202676,65,-0.9131,122.8766,83.59,1.9
230,yakovlevka,100,RU,1644202676,73,44.425,133.4772,13.24,4.83
231,egvekinot,1,RU,1644202676,85,66.3167,-179.1667,-13.27,9.75
232,talnakh,56,RU,1644202677,98,69.4865,88.3972,-28.16,0.69
233,sampit,100,ID,1644202677,94,-2.5333,112.95,74.88,1.59
234,adrar,2,MR,1644202678,11,20.5022,-10.0711,63.27,9.82
235,tshikapa,100,CD,1644202508,95,-6.4167,20.8,69.04,1.23
236,tiarei,61,PF,1644202678,75,-17.5333,-149.3333,84.22,20.76
237,jackson,0,US,1644202444,56,42.4165,-122.8345,54.05,1.01
238,port lincoln,100,CD,1644202503,89,-7.0349,29.7638,69.89,2.35
239,pisco,40,PE,1644202679,94,-13.7,-76.2167,67.01,5.75
240,luderitz,40,NA,1644202680,78,-26.6481,15.1594,67.19,3.09
241,dumas,0,US,1644202680,86,35.8656,-101.9732,35.04,6.91
242,palmas de monte alto,40,BR,1644202680,94,-10.2128,-48.3603,75.07,3.44
243,ngunguru,100,NZ,1644202681,99,-35.6167,174.5,77.16,9.48
244,mahebourg,75,MU,1644202682,94,-20.4081,57.7,77.29,3.44
245,arshan,100,RU,1644202682,92,46.2732,44.22,30.58,15.66
246,iqaluit,0,CA,1644202662,65,63.7506,-68.5145,-38.31,2.3
247,thompson,100,CA,1644202683,71,55.7435,-97.8558,-7.44,5.75
248,vawkavysk,100,BY,1644202683,98,53.1561,24.4513,34.57,17.94
249,ilulissat,100,GL,1644202684,99,69.2167,-51.1,-3.55,8.57
250,fuerte olimpo,41,PH,1644202684,90,17.5381,120.3644,83.1,1.61
251,umtata,3,ZA,1644202685,95,-31.5889,28.7844,60.84,4.18
252,vanimo,100,PG,1644202685,79,-2.6741,141.3028,82.27,4.63
253,upington,20,ZA,1644202686,78,-28.4478,21.2561,70.18,9.22
254,poya,95,NC,1644202686,85,-21.35,165.15,82.44,12.68
255,soe,32,ID,1644202687,59,-9.8607,124.284,81.66,2.86
256,lingyuan,100,CN,1644202688,37,41.24,119.4011,25.79,3.29
257,abu dhabi,0,IN,1644202688,48,24.6,72.7,51.98,1.43
258,paamiut,100,GL,1644202689,78,61.994,-49.6678,10.49,27.0
259,bengkulu,99,ID,1644202690,70,-3.8004,102.2655,81.64,10.8
260,kollam,31,IN,1644202690,73,8.8833,76.6,76.87,6.53
261,mafra,35,BR,1644202691,98,-26.1114,-49.8053,67.95,2.46
262,pangnirtung,100,CA,1644202691,96,66.1451,-65.7125,-38.09,4.47
263,zhezkazgan,100,KZ,1644202692,86,47.8043,67.7144,22.98,24.61
264,santa ana,38,PH,1644202692,90,17.486,120.4348,83.01,1.88
265,nanortalik,100,GL,1644202613,62,60.1432,-45.2371,17.42,46.19
266,west monroe,0,US,1644202694,75,31.8024,-97.0917,45.34,3.44
267,panaba,0,MX,1644202694,89,21.2833,-88.2667,68.16,6.22
268,ryotsu,100,JP,1644202695,61,38.0833,138.4333,35.56,14.23
269,sterling,0,US,1644202570,54,39.0062,-77.4286,33.28,3.0
270,arman,72,RU,1644202695,73,59.7,150.1667,17.02,6.35
271,pauini,100,BR,1644202696,93,-7.7136,-66.9764,74.73,1.23
272,suket,0,IN,1644202697,31,24.65,76.0333,61.36,2.8
273,rundu,98,NA,1644202697,89,-17.9333,19.7667,66.13,4.79
274,garden city,71,DE,1644202698,83,53.688,12.0492,37.62,17.16
275,muana,100,BR,1644202698,95,-1.5283,-49.2167,74.61,3.15
276,college,100,US,1644202699,77,64.8569,-147.8028,-5.01,3.33
277,khatanga,99,RU,1644202616,98,71.9667,102.5,-17.07,9.6
278,stelle,81,DE,1644202700,83,53.3842,10.1114,37.15,13.44
279,portland,23,US,1644202408,83,45.5234,-122.6762,50.2,1.01
280,qasigiannguit,100,GL,1644202701,97,68.8193,-51.1922,-2.87,9.33
281,richards bay,0,US,1644202702,84,46.8361,-95.9123,-4.72,0.0
282,kalianget,93,ID,1644202702,82,-7.05,113.9333,80.92,13.42
283,saurimo,100,AO,1644202457,96,-9.6608,20.3916,61.65,3.47
284,sisimiut,100,GL,1644202703,92,66.9395,-53.6735,4.08,13.94
285,megion,7,RU,1644202703,98,61.0296,76.1136,-3.98,8.59
286,bella vista,91,IT,1644202704,97,40.7609,15.5406,47.03,10.67
287,hofn,100,IS,1644202703,76,64.2539,-15.2082,31.5,17.96
288,encheng,100,CN,1644202705,66,22.1839,112.3026,58.96,3.0
289,jumla,92,NP,1644202705,38,29.2747,82.1838,43.68,1.03
290,tura,1,IN,1644202705,56,25.5198,90.2201,61.97,1.19
