,City,Country,Lat,Lng,Hotel Name
308,ampanihy,MG,-24.7,44.75,Angora Hotel
309,taltal,CL,-25.4,-70.4833,Hotel Mi Tampi
310,gardez,AF,33.5974,69.2259,Dubai Hotel - دبی هوټل
311,charyshskoye,RU,51.3978,83.5598,Gostinitsa Charysh
312,grand gaube,US,38.8755,-109.5012,
313,qui nhon,BR,-10.9706,-37.5959,
314,phalaborwa,ZA,-23.943,31.1411,Bushveld Terrace Hotel on Kruger
315,minna,NG,9.6139,6.5569,Whitehill Luxury Hotel Minna
316,bambous virieux,MU,-20.2567,57.4061,La Pirogue Mauritius
317,wladyslawowo,PL,54.7909,18.4009,Hotel Faleza
318,miri,MY,4.4148,114.0089,"Imperial Hotel, Miri"
319,shikhany,RU,52.1167,47.2167,
320,vostok,RU,46.4856,135.8833,
321,salinopolis,BR,-0.6136,-47.3561,Hotel Privê do Atalaia
322,sarakhs,IR,36.5449,61.1577,Sarakhs Abrisham Hotel
323,belmonte,BR,-15.8631,-38.8828,Pousada do Diogo
324,yatou,CN,37.15,122.3833,Friendship Hotel
325,porto santo,PT,41.1496,-8.611,Hotel Premium Porto Downtown
326,rancharia,BR,-22.2292,-50.8931,Hotel Franca
327,baykit,RU,61.67,96.37,
328,batagay-alyta,RU,67.8006,130.4114,
329,pozo colorado,CU,22.4497,-80.1794,Motel Las Tecas
330,mocuba,MZ,-16.8392,36.9856,ROYAL STAR GUESTHOUSE
331,muros,ES,42.7762,-9.0603,Casa da Nena Pensión
332,omsukchan,RU,62.5333,155.8,
333,dubbo,AU,-32.25,148.6167,ibis budget Dubbo
334,georgetown,MY,5.4112,100.3354,Nam Keng Hotel
335,aldan,RU,58.6031,125.3894,Aldan Gostinichnyy Kompleks
336,roald,NO,62.5833,6.1333,Smartrom
337,ayagoz,KZ,47.9714,80.4392,Aygerim Hotel
338,tskneti,GE,41.6939,44.6937,Hotel S&L
339,karratha,AU,-20.7377,116.8463,ibis Styles Karratha
340,meulaboh,ID,4.1363,96.1285,Bin Daod Hotel and Restaurant
341,grand centre,US,38.8755,-109.5012,
342,boyolangu,ID,-8.1181,111.8935,Crown Victoria Hotel
343,inuvik,CA,68.3499,-133.7218,Nova Inn Inuvik
344,tucuman,AR,-26.8241,-65.2226,Sheraton Tucuman Hotel
345,naze,JP,28.3667,129.4833,山羊島ホテル
346,sherbakul,RU,54.6316,72.3963,
347,villaviciosa,ES,43.4813,-5.4357,Hotel Arcea Villaviciosa
348,maralal,KE,1.0968,36.698,Samburu Guest House
349,bonthe,SL,7.5264,-12.505,Bonthe Holiday Village
350,kieta,PG,-6.2167,155.6333,
351,tautira,PF,-17.7333,-149.15,
352,puri,IN,19.8,85.85,Hotel Puri Beach Resort
353,atar,MR,20.5169,-13.0499,Bab Sahara
354,bereda,ES,43.2686,-7.5406,Citania de Veria
355,tilichiki,RU,60.4667,166.1,
356,hopkinsville,US,36.8656,-87.4886,La Quinta Inn & Suites by Wyndham Hopkinsville
357,sistranda,NO,63.7256,8.834,Hotell Frøya
358,ukiah,US,39.1502,-123.2078,Travelodge by Wyndham Ukiah
359,jiwani,PK,25.05,61.7417,Hamza hotel jiwani
360,chincha alta,GH,10.8424,-1.9239,
361,ilhabela,BR,-23.7781,-45.3581,Ilha Flat Hotel
362,mouila,GA,-1.8685,11.0559,Tsumbu hôtel
363,ponta do sol,PT,38.7333,-28.2667,Quinta Do Canavial
364,mindelo,CV,16.8901,-24.9804,Mindel Hotel
365,westport,US,41.1415,-73.3579,Residence Inn by Marriott Norwalk
